,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_1,3.7248542308807373,4.0,5.0,6.0,7.0,8.0,9.0
execution_2_case_0_patient_1,3.9927353858947754,4.0,5.0,6.0,7.0,8.0,9.0
execution_3_case_0_patient_1,4.2371673583984375,4.0,5.0,6.0,7.0,8.0,9.0
execution_4_case_0_patient_1,3.753582715988159,4.0,5.0,6.0,7.0,8.0,9.0
execution_5_case_0_patient_1,3.7906270027160645,4.0,5.0,6.0,7.0,8.0,9.0
execution_6_case_0_patient_1,3.9383132457733154,4.0,5.0,6.0,7.0,8.0,9.0
execution_7_case_0_patient_1,3.6527349948883057,4.0,5.0,6.0,7.0,8.0,9.0
execution_8_case_0_patient_1,3.9242489337921143,4.0,5.0,6.0,7.0,8.0,9.0
execution_9_case_0_patient_1,3.7255141735076904,4.0,5.0,6.0,7.0,8.0,9.0
execution_10_case_0_patient_1,3.979149103164673,4.0,5.0,6.0,7.0,8.0,9.0
mean_10_case_0_patient_1,3.871892714500427,4.0,5.0,6.0,7.0,8.0,9.0
min_10_case_0_patient_1,3.6527349948883057,4.0,5.0,6.0,7.0,8.0,9.0
max_10_case_0_patient_1,4.2371673583984375,4.0,5.0,6.0,7.0,8.0,9.0
